Type: Lenticular galaxy
Constellation: Cetus;
103,0.4166666667,+61.35,Magnitude: 10.3
Type: Open cluster
Constellation: Cassiopeia;
104,0.4015833333,-72.0813888888889,Magnitude: 5.8
Type: Globular cluster
Constellation: Tucana;
105,0.4213611111,+12.8836111111111,Magnitude: 14.1
Type: Spiral galaxy
Constellation: Pisces;
106,0.4121666667,-5.14861111111111,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Pisces;
107,0.4283611111,-8.28277777777778,Magnitude: 15.7
Type: Spiral galaxy
Constellation: Cetus;
108,0.4332777778,+29.2116666666667,Magnitude: 13.3
Type: Lenticular galaxy
Constellation: Andromeda;
109,0.4374166667,+21.8069444444444,Magnitude: 15
Type: Spiral galaxy
Constellation: Andromeda;
110,0.45,+71.4,Magnitude: 9
Type: Open cluster
Constellation: Cassiopeia;
111,0.45,-2.63333333333333,Magnitude: 
Type: Unknown
Constellation: Cetus;
112,0.4468888889,+31.7033333333333,Magnitude: 14.5
Type: Barred spiral galaxy
Constellation: Andromeda;
113,0.4485,-2.50083333333333,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Cetus;
114,0.4495555556,-1.78611111111111,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
115,0.4462777778,-33.6766666666667,Magnitude: 14
Type: Barred spiral galaxy
Constellation: Sculptor;
116,0.4514722222,-7.66805555555556,Magnitude: 14.5
Type: Doesn't exist
Constellation: Cetus;
117,0.4530277778,+1.33416666666667,Magnitude: 15.5
Type: Lenticular galaxy
Constellation: Cetus;
118,0.4545,-1.78,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Cetus;
119,0.4493055556,-56.9783333333333,Magnitude: 13
Type: Lenticular galaxy
Constellation: Phoenix;
120,0.4584166667,-1.51361111111111,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Cetus;
121,0.4469444444,-71.5361111111111,Magnitude: 11.2
Type: Globular cluster
Constellation: Tucana;
122,0.4666666667,-1.63333333333333,Magnitude: 
Type: Unknown
Constellation: Cetus;
123,0.4666666667,-1.6,Magnitude: 
Type: Unknown
Constellation: Cetus;
124,0.4645833333,-1.81055555555556,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Cetus;
125,0.4806388889,+2.83861111111111,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Pisces;
126,0.4855833333,+2.81111111111111,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Pisces;
127,0.4867777778,+2.87277777777778,Magnitude: 13.2
Type: Lenticular galaxy
Constellation: Pisces;
128,0.4875277778,+2.86416666666667,Magnitude: 13.2
Type: Lenticular galaxy
Constellation: Pisces;
129,0.5,+60.2166666666667,Magnitude: 7.3
Type: Open cluster
Constellation: Cassiopeia;
130,0.4883333333,+2.87166666666667,Magnitude: 15
Type: Lenticular galaxy
Constellation: Pisces;
131,0.4938888889,-33.2605555555556,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Sculptor;
132,0.5029722222,+2.09305555555556,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Cetus;
133,0.52,+63.3666666666667,Magnitude: 9.4
Type: Open cluster
Constellation: Cassiopeia;
134,0.5059722222,-33.2469444444444,Magnitude: 11
Type: Barred Spiral galaxy
Constellation: Sculptor;
135,0.5293333333,-13.3380555555556,Magnitude: 
Type: Lenticular galaxy
Constellation: Cetus;
136,0.5333333333,+61.5333333333333,Magnitude: 11
Type: Open cluster
Constellation: Cassiopeia;
137,0.5161666667,+10.2080555555556,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Pisces;
138,0.5165,+5.15972222222222,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Pisces;
139,0.5184444444,+5.07861111111111,Magnitude: 15.5
Type: Barred spiral galaxy
Constellation: Pisces;
140,0.5223888889,+30.7925,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Andromeda;
141,0.5219444444,+5.18111111111111,Magnitude: 15.4
Type: Spiral galaxy
Constellation: Pisces;
142,0.5188611111,-22.6186111111111,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
143,0.5209722222,-22.5602777777778,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
144,0.5224166667,-22.6463888888889,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
145,0.5291666667,-5.15305555555556,Magnitude: 12
Type: Barred spiral galaxy
Constellation: Cetus;
146,0.55,+63.3,Magnitude: 9.6
Type: Open cluster
Constellation: Cassiopeia;
147,0.5532777778,+48.5069444444444,Magnitude: 12
Type: Elliptical galaxy
Constellation: Cassiopeia;
148,0.571,-31.7852777777778,Magnitude: 13.1
Type: Lenticular galaxy
Constellation: Sculptor;
149,0.564,+30.7230555555556,Magnitude: 15
Type: Lenticular galaxy
Constellation: Andromeda;
150,0.5711388889,-27.8044444444444,Magnitude: 11.8
Type: Barred spiral galaxy
Constellation: Sculptor;
151,0.5674444444,-9.70527777777778,Magnitude: 12.2
Type: Barred spiral galaxy
Constellation: Cetus;
152,0.5489722222,-73.1158333333333,Magnitude: 13.1
Type: Open cluster
Constellation: Tucana;
153,0.5674444444,-9.70527777777778,Magnitude: 12.2
Type: Spiral galaxy
Constellation: Cetus;
154,0.5720833333,-12.6563888888889,Magnitude: 14
Type: Elliptical galaxy
Constellation: Cetus;
155,0.5778055556,-10.7666666666667,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
156,0.5833333333,-8.35,Magnitude: 
Type: Double star
Constellation: Cetus;
157,0.5796388889,-8.39666666666667,Magnitude: 10
Type: Intermediate spiral galaxy
Constellation: Cetus;
158,0.5833333333,-8.31666666666667,Magnitude: 
Type: Possible double star
Constellation: Cetus;
159,0.5765277778,-55.7905555555556,Magnitude: 
Type: Lenticular galaxy
Constellation: Phoenix;
160,0.6011388889,+23.9586111111111,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Andromeda;
161,0.59275,-2.84861111111111,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
162,0.5994444444,+24.0377777777778,Magnitude: 16
Type: Star
Constellation: Andromeda;
163,0.5999444444,-10.1216666666667,Magnitude: 13
Type: Elliptical galaxy
Constellation: Cetus;
164,0.6091666667,+2.74944444444444,Magnitude: 16
Type: Spiral galaxy
Constellation: Pisces;
165,0.6079722222,-10.105,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
166,0.5968888889,-13.6111111111111,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
167,0.5897222222,-23.3744444444444,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
168,0.6107222222,-22.5930555555556,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Cetus;
169,0.6143611111,+23.9911111111111,Magnitude: 13.7
Type: Barred spiral galaxy
Constellation: Andromeda;
170,0.61275,+1.88638888888889,Magnitude: 15.5
Type: Lenticular galaxy
Constellation: Cetus;
171,0.62275,-19.9366666666667,Magnitude: 12
Type: Barred spiral galaxy
Constellation: Cetus;
172,0.6204166667,-22.5866666666667,Magnitude: 14.7
Type: Barred spiral galaxy
Constellation: Cetus;
173,0.6201666667,+1.94194444444444,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Cetus;
174,0.6163333333,-29.4783333333333,Magnitude: 13.5
Type: Barred spiral galaxy
Constellation: Sculptor;
175,0.62275,-19.9366666666667,Magnitude: 12
Type: Barred spiral galaxy
Constellation: Cetus;
176,0.5996388889,-73.1658333333333,Magnitude: 13.1
Type: Open cluster
Constellation: Tucana;
177,0.6261944444,-22.5494444444444,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Cetus;
178,0.6523333333,-14.1713888888889,Magnitude: 13
Type: Magellanic spiral
Constellation: Cetus;
179,0.6295277778,-17.85,Magnitude: 
Type: Lenticular galaxy
Constellation: Cetus;
180,0.6327222222,+8.63444444444444,Magnitude: 14.3
Type: Barred spiral galaxy
Constellation: Pisces;
181,0.6397777778,+29.4727777777778,Magnitude: 15.4
Type: Spiral galaxy
Constellation: Andromeda;
182,0.6368055556,+2.72833333333333,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Pisces;
183,0.6415277778,+29.5111111111111,Magnitude: 13.8
Type: Elliptical galaxy
Constellation: Andromeda;
184,0.6432777778,+29.4475,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Andromeda;
185,0.6492777778,+48.3372222222222,Magnitude: 11
Type: Dwarf spheroidal galaxy
Constellation: Cassiopeia;
186,0.6403611111,+3.16611111111111,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Pisces;
187,0.6584444444,-14.6547222222222,Magnitude: 13
Type: Barred spiral galaxy
Constellation: Cetus;
188,0.8072222222,+85.25,Magnitude: 8.9
Type: Open cluster
Constellation: Cepheus;
189,0.6666666667,+61.0666666666667,Magnitude: 9.1
Type: Open cluster
Constellation: Cassiopeia;
190,0.6485555556,+7.0625,Magnitude: 15.1
Type: Interacting galaxies
Constellation: Pisces;
191,0.6498055556,-9.0025,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
192,0.65375,+0.863611111111111,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Cetus;
193,0.6551944444,+3.33138888888889,Magnitude: 13.2
Type: Lenticular galaxy
Constellation: Pisces;
194,0.6551388889,+3.03722222222222,Magnitude: 13.9
Type: Elliptical galaxy
Constellation: Pisces;
195,0.6599444444,-9.19444444444444,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
196,0.6549722222,+0.9125,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Cetus;
197,0.65525,+0.891666666666667,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Cetus;
198,0.6564166667,+2.7975,Magnitude: 14.1
Type: Spiral galaxy
Constellation: Pisces;
199,0.65925,+3.13861111111111,Magnitude: 15
Type: Lenticular galaxy
Constellation: Pisces;
200,0.6596944444,+2.88722222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
201,0.6596944444,+0.859722222222222,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Cetus;
202,0.6611111111,+3.53611111111111,Magnitude: 15.5
Type: Lenticular galaxy
Constellation: Pisces;
203,0.6609722222,+3.44277777777778,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Pisces;
204,0.6623055556,+3.29944444444444,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Pisces;
205,0.6727777778,+41.6852777777778,Magnitude: 9.4
Type: Dwarf elliptical galaxy
Constellation: Andromeda;
206,0.6760555556,+40.7394444444445,Magnitude: 
Type: Star cloud
Constellation: Andromeda;
207,0.6613333333,-14.2375,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Cetus;
208,0.6715555556,+2.75611111111111,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Pisces;
209,0.651,-18.6083333333333,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
210,0.6764166667,-13.8738888888889,Magnitude: 11
Type: Barred spiral galaxy
Constellation: Cetus;
211,0.6609722222,+3.44277777777778,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Pisces;
212,0.6703611111,-56.1530555555556,Magnitude: 
Type: Lenticular galaxy
Constellation: Phoenix;
213,0.6861388889,+16.4688888888889,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Pisces;
214,0.6910833333,+25.5002777777778,Magnitude: 13
Type: Spiral galaxy
Constellation: Andromeda;
215,0.68025,-56.2141666666667,Magnitude: 
Type: Lenticular galaxy
Constellation: Phoenix;
216,0.6906944444,-21.0452777777778,Magnitude: 13.6
Type: Lenticular galaxy
Constellation: Cetus;
217,0.6927222222,-10.0219444444444,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
218,0.69575,+36.3594444444444,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Andromeda;
219,0.7031388889,+0.904444444444444,Magnitude: 15.6
Type: Elliptical galaxy
Constellation: Cetus;
220,0.6751388889,-73.4027777777778,Magnitude: 14.6
Type: Open cluster
Constellation: Tucana;
221,0.7116388889,+40.8658333333333,Magnitude: 9.2
Type: Elliptical galaxy
Constellation: Andromeda;
222,0.6789166667,-73.3833333333333,Magnitude: 12.8
Type: Open cluster
Constellation: Tucana;
223,0.7044166667,+0.845555555555556,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Cetus;
224,0.7123055556,+41.2691666666667,Magnitude: 4.3
Type: Barred spiral galaxy
Constellation: Andromeda;
225,0.7333333333,+61.7833333333333,Magnitude: 7.4
Type: Open cluster
Constellation: Cassiopeia;
226,0.7150833333,+32.5802777777778,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Andromeda;
227,0.7102777778,-1.52888888888889,Magnitude: 13.4
Type: Lenticular galaxy
Constellation: Cetus;
228,0.7151388889,+23.5033333333333,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Andromeda;
229,0.7179722222,+23.5091666666667,Magnitude: 14.7
Type: Lenticular galaxy
Constellation: Andromeda;
230,0.7075277778,-23.6291666666667,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
231,0.6850555556,-73.3519444444444,Magnitude: 13.1
Type: Open cluster
Constellation: Tucana;
232,0.7126666667,-23.5608333333333,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Cetus;
233,0.7268888889,+30.5866666666667,Magnitude: 13.8
Type: Elliptical galaxy
Constellation: Andromeda;
234,0.7256666667,+14.3425,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Pisces;
235,0.7145833333,-23.5411111111111,Magnitude: 14
Type: Interacting galaxies
Constellation: Cetus;
236,0.7243333333,+2.95777777777778,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Pisces;
237,0.7244166667,-0.125555555555556,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Cetus;
238,0.7238333333,-50.1827777777778,Magnitude: 13.1
Type: Spiral galaxy
Constellation: Phoenix;
239,0.74375,-3.75944444444444,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
240,0.7505555556,+6.11305555555556,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Pisces;
