M46,7.6966666667,-13.1833333333,"Other Names: NGC 2437
TYPE: Open Cluster
Constellation: Puppis
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 27
Distance (ly): 5400";
M47,7.61,-13.5,"Other Names: NGC 2422
TYPE: Open Cluster
Constellation: Puppis
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 30
Distance (ly): 1600";
M48,8.23,-4.2,"Other Names: NGC 2548
TYPE: Open Cluster
Constellation: Hydra
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 54
Distance (ly): 1500";
M49,12.4966666667,8,"Other Names: NGC 4472
TYPE: Elliptical Galaxy
Constellation: Virgo
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 9x7.5
Distance (ly): 60000000";
M50,7.0533333333,-7.6666666667,"Other Names: NGC 2323
TYPE: Open Cluster
Constellation: Monocerus
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 16
Distance (ly): 3000";
M51,13.4983333333,47.2,"Other Names: NGC 5194 Whirlpool Galaxy
TYPE: Spiral Galaxy
Constellation: Canes Venatici
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 11x7
Distance (ly): 37000000";
M52,23.4033333333,61.5833333333,"Other Names: NGC 7654
TYPE: Open Cluster
Constellation: Cassiopeia
Viewing Season: Autumn
Viewing Difficulty: Easy
Size: 13
Distance (ly): 5000";
M53,13.215,18.1666666667,"Other Names: NGC 5024
TYPE: Globular Cluster
Constellation: Coma Berenices
Viewing Season: Spring
Viewing Difficulty: Easy
Size: 12.6
Distance (ly): 56400";
M54,18.9183333333,-29.5166666667,"Other Names: NGC 6715
TYPE: Globular Cluster
Constellation: Sagittarius
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 9.1
Distance (ly): 82800";
M55,19.6666666667,-29.0333333333,"Other Names: NGC 6809
TYPE: Globular Cluster
Constellation: Sagittarius
Viewing Season: Summer
Viewing Difficulty: Hard
Size: 19
Distance (ly): 16600";
M56,19.2766666667,30.1833333333,"Other Names: NGC 6779
TYPE: Globular Cluster
Constellation: Lyra
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 7.1
Distance (ly): 31600";
M57,18.8933333333,33.0333333333,"Other Names: NGC 6720 Ring Nebula
TYPE: Planetary Nebula
Constellation: Lyra
Viewing Season: Summer
Viewing Difficulty: Easy
Size: 1.4x1
Distance (ly): 4100";
M58,12.6283333333,11.8166666667,"Other Names: NGC 4579
TYPE: Spiral Galaxy
Constellation: Virgo
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 5.5x4.5
Distance (ly): 60000000";
M59,12.7,11.65,"Other Names: NGC 4621
TYPE: Elliptical Galaxy
Constellation: Virgo
Viewing Season: Spring
Viewing Difficulty: Hard
Size: 5x3.5
Distance (ly): 60000000";
M60,12.7283333333,11.55,"Other Names: NGC 4649
TYPE: Elliptical Galaxy
Constellation: Virgo
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 7x6
Distance (ly): 60000000";
M61,12.365,4.4666666667,"Other Names: NGC 4303
TYPE: Spiral Galaxy
Constellation: Virgo
Viewing Season: Spring
Viewing Difficulty: Hard
Size: 6x5.5
Distance (ly): 60000000";
M62,17.02,-29.8833333333,"Other Names: NGC 6266
TYPE: Globular Cluster
Constellation: Ophiucus
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 14.1
Distance (ly): 21500";
M63,13.2633333333,42.0333333333,"Other Names: NGC 5055 Sunflower Galaxy
TYPE: Spiral Galaxy
Constellation: Canes Venatici
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 10x6
Distance (ly): 37000000";
M64,12.945,21.6833333333,"Other Names: NGC 4826 Blackeye Galaxy
TYPE: Spiral Galaxy
Constellation: Coma Berenices
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 9.3x5.4
Distance (ly): 19000000";
M65,11.315,13.0833333333,"Other Names: NGC 3623
TYPE: Spiral Galaxy
Constellation: Leo
Viewing Season: Spring
Viewing Difficulty: Moderate
Size: 8x1.5
Distance (ly): 35000000";
M66,11.3366666667,12.9833333333,"Other Names: NGC 3627
TYPE: Spiral Galaxy
Constellation: Leo
Viewing Season: Spring
Viewing Difficulty: Easy
Size: 8x2.5
Distance (ly): 35000000";
M67,8.84,11.8166666667,"Other Names: NGC 2682
TYPE: Open Cluster
Constellation: Cancer
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 30
Distance (ly): 2700";
M68,12.6583333333,-25.25,"Other Names: NGC 4590
TYPE: Globular Cluster
Constellation: Hydra
Viewing Season: Spring
Viewing Difficulty: Very Hard
Size: 12
Distance (ly): 33300";
M69,18.5233333333,-31.65,"Other Names: NGC 6637
TYPE: Globular Cluster
Constellation: Sagittarius
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 7.1
Distance (ly): 26700";
M70,18.72,-31.7,"Other Names: NGC 6681
TYPE: Globular Cluster
Constellation: Sagittarius
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 7.8
Distance (ly): 28000";
M71,19.8966666667,18.7833333333,"Other Names: NGC 6838
TYPE: Globular Cluster
Constellation: Sagitta
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 7.2
Distance (ly): 11700";
M72,20.8916666667,-11.4666666667,"Other Names: NGC 6981
TYPE: Globular Cluster
Constellation: Aquarius
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 5.9
Distance (ly): 52800";
M73,20.9833333333,-11.3666666667,"Other Names: NGC 6994 Group of 4 stars
TYPE: Group/Asterism
Constellation: Aquarius
Viewing Season: Summer
Viewing Difficulty: Hard
Size: 2.8
Distance (ly): 2000";
M74,1.6116666667,15.7833333333,"Other Names: NGC 628
TYPE: Spiral Galaxy
Constellation: Pisces
Viewing Season: Autumn
Viewing Difficulty: Very Hard
Size: 10.2x9.5
Distance (ly): 35000000";
M75,20.1016666667,-20.0833333333,"Other Names: NGC 6864
TYPE: Globular Cluster
Constellation: Sagittarius
Viewing Season: Summer
Viewing Difficulty: Moderate
Size: 6
Distance (ly): 57700";
M76,1.705,51.5666666667,"Other Names: NGC 650 Little Dumbell  Cork  Butterfly Nebula
TYPE: Planetary Nebula
Constellation: Perseus
Viewing Season: Autumn
Viewing Difficulty: Moderate
Size: 2.7x1.8
Distance (ly): 3400";
M77,2.7116666667,0.0166666667,"Other Names: NGC 1068 Cetus A
TYPE: Spiral Galaxy
Constellation: Cetus
Viewing Season: Autumn
Viewing Difficulty: Moderate
Size: 7x6
Distance (ly): 60000000";
M78,5.7783333333,0.05,"Other Names: NGC 2068
TYPE: Diffuse Nebula
Constellation: Orion
Viewing Season: Winter
Viewing Difficulty: Moderate
Size: 8x6
Distance (ly): 1600";
M79,5.4083333333,-23.45,"Other Names: NGC 1904
TYPE: Globular Cluster
Constellation: Lepus
Viewing Season: Winter
Viewing Difficulty: Moderate
Size: 8.7
Distance (ly): 41100";
